00OW               20191119                                                                                   
0601OWA1N       20200101000515100000005000 0100003380000653   
0601OWA1N       20200101000520100000005000 0100003450000660   
0601OWA1N       20200101000525100000005000 0100003510000665   
0601OWA1N       20200101000530100000005000 0100003590000674   
0601OWA1N       20200101000535100000005000 0100003670000683   
0601OWA1N       20200101000540100000005000 0100003740000689   
0601OWA1N       20200101000545100000005000 0100003810000696   
0601OWA1N       20200101000550100000005000 0100003900000706   
0601OWA1N       20200101000555100000005000 0100003980000714   
0601OWA1N       20200101000560100000005000 0100004050000720   
0601OWA1N       20200101000565100000005000 0100004130000728   
0601OWA1N       20200101000570100000005000 0100004210000735   
0601OWA1N       20200101000575100000005000 0100004280000741   
0601OWA1N       20200101000580100000005000 0100004350000747   
0601OWA1N       20200101000585100000005000 0100004430000754   
0601OWA1N       20200101000590100000005000 0100004500000759   
0601OWA1N       20200101000595100000005000 0100004580000767   
0601OWA1N       20200101000600100000005000 0100004650000772   
0601OWA1N       20200101000605100000005000 0100004720000777   
0601OWA1N       20200101000610100000005000 0100004800000784   
0601OWA1N       20200101000615100000005000 0100004870000789   
0601OWA1N       20200101000620100000005000 0100004940000794   
0601OWA1N       20200101000625100000005000 0100005010000798   
0601OWA1N       20200101000630100000005000 0100005090000805   
0601OWA1N       20200101000635100000005000 0100005160000809   
0601OWA1N       20200101000640100000005000 0100005230000814   
0601OWA1N       20200101000645100000005000 0100005300000819   
0601OWA1N       20200101000650100000005000 0100005370000823   
0601OWA1N       20200101000655100000005000 0100005450000829   
0601OWA1N       20200101000660100000005000 0100005520000833   
0601OWA1N       20200101000665100000005000 0100005590000837   
0601OWA1N       20200101000670100000005000 0100005660000842   
0601OWA1N       20200101000675100000005000 0100005730000846   
0601OWA1N       20200101000680100000005000 0100005820000853   
0601OWA1N       20200101000685100000005000 0100005890000857   
0601OWA1N       20200101000690100000005000 0100005960000861   
0601OWA1N       20200101000695100000005000 0100006030000865   
0601OWA1N       20200101000700100000005000 0100006100000868   
0601OWA1N       20200101000705100000005000 0100006180000873   
0601OWA1N       20200101000710100000005000 0100006260000879   
0601OWA1N       20200101000715100000005000 0100006330000882   
0601OWA1N       20200101000720100000005000 0100006400000886   
0601OWA1N       20200101000725100000005000 0100006470000889   
0601OWA1N       20200101000730100000005000 0100006550000894   
0601OWA1N       20200101000735100000005000 0100006620000898   
0601OWA1N       20200101000740100000005000 0100006700000902   
0601OWA1N       20200101000745100000005000 0100006770000906   
0601OWA1N       20200101000750100000005000 0100006850000910   
0601OWA1N       20200101000755100000005000 0100006920000914   
0601OWA1N       20200101000760100000005000 0100006990000917   
0601OWA1N       20200101000765100000005000 0100007070000921   
0601OWA1N       20200101000770100000005000 0100007140000924   
0601OWA1N       20200101000775100000005000 0100007220000929   
0601OWA1N       20200101000780100000005000 0100007290000932   
0601OWA1N       20200101000785100000005000 0100007360000935   
0601OWA1N       20200101000790100000005000 0100007440000939   
0601OWA1N       20200101000795100000005000 0100007510000942   
0601OWA1N       20200101000800100000005000 0100007590000946   
0601OWA1N       20200101000805100000005000 0100007660000949   
0601OWA1N       20200101000810100000005000 0100007730000951   
0601OWA1N       20200101000815100000005000 0100007800000954   
