00VD               20191128                                                                                   
0601VDA0N       20200101009600100000050000 0000000000003948   
0601VDA0N       20200101009650100000050000 0000000000003949   
0601VDA0N       20200101009700100000050000 0000000000003951   
0601VDA0N       20200101009750100000050000 0000000000003952   
0601VDA0N       20200101009800100000050000 0000000000003953   
0601VDA0N       20200101009850100000050000 0000000000003954   
0601VDA0N       20200101009900100000050000 0000000000003955   
0601VDA0N       20200101009950100000050000 0000000000003956   
0601VDA0N       20200101010000100040000000 0000000000003957   
0601VDA1N       20200101000000100000285000 0100000000000000   
0601VDA1N       20200101000285100000005000 0100000000000007   
0601VDA1N       20200101000290100000005000 0100000000000013   
0601VDA1N       20200101000295100000005000 0100000000000020   
0601VDA1N       20200101000300100000005000 0100000000000029   
0601VDA1N       20200101000305100000005000 0100000000000045   
0601VDA1N       20200101000310100000005000 0100000000000059   
0601VDA1N       20200101000315100000005000 0100000000000072   
0601VDA1N       20200101000320100000005000 0100000000000086   
0601VDA1N       20200101000325100000005000 0100000000000098   
0601VDA1N       20200101000330100000005000 0100000000000116   
0601VDA1N       20200101000335100000005000 0100000000000136   
0601VDA1N       20200101000340100000005000 0100000000000151   
0601VDA1N       20200101000345100000005000 0100000000000168   
0601VDA1N       20200101000350100000005000 0100000000000181   
0601VDA1N       20200101000355100000005000 0100000000000201   
0601VDA1N       20200101000360100000005000 0100000000000220   
0601VDA1N       20200101000365100000005000 0100000000000236   
0601VDA1N       20200101000370100000005000 0100000000000254   
0601VDA1N       20200101000375100000005000 0100000000000270   
0601VDA1N       20200101000380100000005000 0100000000000289   
