00LU               20181210                                                                                   
0601LUA0N       20190101001380100000005000 0000022770001647   
0601LUA0N       20190101001385100000005000 0000022900001650   
0601LUA0N       20190101001390100000005000 0000023020001653   
0601LUA0N       20190101001395100000005000 0000023170001658   
0601LUA0N       20190101001400100000005000 0000023290001661   
0601LUA0N       20190101001405100000005000 0000023410001663   
0601LUA0N       20190101001410100000005000 0000023560001668   
0601LUA0N       20190101001415100000005000 0000023690001671   
0601LUA0N       20190101001420100000005000 0000023810001674   
0601LUA0N       20190101001425100000005000 0000023960001678   
0601LUA0N       20190101001430100000005000 0000024080001681   
0601LUA0N       20190101001435100000005000 0000024200001683   
0601LUA0N       20190101001440100000005000 0000024350001688   
0601LUA0N       20190101001445100000005000 0000024470001691   
0601LUA0N       20190101001450100000005000 0000024600001694   
0601LUA0N       20190101001455100000005000 0000024740001697   
0601LUA0N       20190101001460100000005000 0000024870001701   
0601LUA0N       20190101001465100000005000 0000024990001703   
0601LUA0N       20190101001470100000005000 0000025140001707   
0601LUA0N       20190101001475100000005000 0000025260001710   
0601LUA0N       20190101001480100000005000 0000025390001713   
0601LUA0N       20190101001485100000005000 0000025530001716   
0601LUA0N       20190101001490100000005000 0000025660001719   
0601LUA0N       20190101001495100000005000 0000025780001722   
0601LUA0N       20190101001500100000005000 0000025930001726   
0601LUA0N       20190101001505100000005000 0000026050001728   
0601LUA0N       20190101001510100000005000 0000026170001730   
0601LUA0N       20190101001515100000005000 0000026320001734   
0601LUA0N       20190101001520100000005000 0000026440001737   
0601LUA0N       20190101001525100000005000 0000026570001739   
0601LUA0N       20190101001530100000005000 0000026720001744   
0601LUA0N       20190101001535100000005000 0000026840001746   
0601LUA0N       20190101001540100000005000 0000026960001748   
0601LUA0N       20190101001545100000005000 0000027110001752   
0601LUA0N       20190101001550100000005000 0000027230001754   
0601LUA0N       20190101001555100000005000 0000027360001757   
0601LUA0N       20190101001560100000005000 0000027480001759   
0601LUA0N       20190101001565100000005000 0000027630001763   
0601LUA0N       20190101001570100000005000 0000027750001765   
0601LUA0N       20190101001575100000005000 0000027870001767   
0601LUA0N       20190101001580100000005000 0000028030001771   
0601LUA0N       20190101001585100000005000 0000028150001773   
0601LUA0N       20190101001590100000005000 0000028280001776   
0601LUA0N       20190101001595100000005000 0000028430001780   
0601LUA0N       20190101001600100000005000 0000028560001782   
0601LUA0N       20190101001605100000005000 0000028690001785   
0601LUA0N       20190101001610100000005000 0000028840001789   
0601LUA0N       20190101001615100000005000 0000028970001791   
0601LUA0N       20190101001620100000005000 0000029090001793   
0601LUA0N       20190101001625100000005000 0000029240001797   
0601LUA0N       20190101001630100000005000 0000029370001799   
0601LUA0N       20190101001635100000005000 0000029500001802   
0601LUA0N       20190101001640100000005000 0000029650001805   
0601LUA0N       20190101001645100000005000 0000029780001808   
0601LUA0N       20190101001650100000005000 0000029900001809   
0601LUA0N       20190101001655100000005000 0000030060001814   
0601LUA0N       20190101001660100000005000 0000030180001815   
0601LUA0N       20190101001665100000005000 0000030310001818   
0601LUA0N       20190101001670100000005000 0000030460001821   
0601LUA0N       20190101001675100000005000 0000030590001824   
0601LUA0N       20190101001680100000005000 0000030720001826   
0601LUA0N       20190101001685100000005000 0000030870001829   
0601LUA0N       20190101001690100000005000 0000031000001832   
0601LUA0N       20190101001695100000005000 0000031120001833   
0601LUA0N       20190101001700100000005000 0000031270001837   
0601LUA0N       20190101001705100000005000 0000031400001839   
0601LUA0N       20190101001710100000005000 0000031530001841   
0601LUA0N       20190101001715100000005000 0000031680001845   
0601LUA0N       20190101001720100000005000 0000031810001847   
0601LUA0N       20190101001725100000005000 0000031930001848   
0601LUA0N       20190101001730100000005000 0000032090001852   
0601LUA0N       20190101001735100000005000 0000032210001854   
0601LUA0N       20190101001740100000005000 0000032340001856   
0601LUA0N       20190101001745100000005000 0000032490001859   
0601LUA0N       20190101001750100000005000 0000032620001861   
0601LUA0N       20190101001755100000005000 0000032750001863   
0601LUA0N       20190101001760100000005000 0000032900001867   
0601LUA0N       20190101001765100000005000 0000033030001869   
0601LUA0N       20190101001770100000005000 0000033170001871   
0601LUA0N       20190101001775100000005000 0000033330001875   
0601LUA0N       20190101001780100000005000 0000033470001878   
0601LUA0N       20190101001785100000005000 0000033600001880   
0601LUA0N       20190101001790100000005000 0000033770001884   
0601LUA0N       20190101001795100000005000 0000033900001886   
0601LUA0N       20190101001800100000005000 0000034040001888   
0601LUA0N       20190101001805100000005000 0000034200001892   
0601LUA0N       20190101001810100000005000 0000034340001895   
0601LUA0N       20190101001815100000005000 0000034480001897   
0601LUA0N       20190101001820100000005000 0000034650001901   
0601LUA0N       20190101001825100000005000 0000034790001904   
0601LUA0N       20190101001830100000005000 0000034930001906   
0601LUA0N       20190101001835100000005000 0000035100001910   
0601LUA0N       20190101001840100000005000 0000035240001913   
0601LUA0N       20190101001845100000005000 0000035380001915   
0601LUA0N       20190101001850100000005000 0000035550001919   
0601LUA0N       20190101001855100000005000 0000035690001921   
0601LUA0N       20190101001860100000005000 0000035830001924   
0601LUA0N       20190101001865100000005000 0000036000001928   
0601LUA0N       20190101001870100000005000 0000036140001930   
0601LUA0N       20190101001875100000005000 0000036280001932   
0601LUA0N       20190101001880100000005000 0000036450001936   
0601LUA0N       20190101001885100000005000 0000036590001939   
0601LUA0N       20190101001890100000005000 0000036730001941   
0601LUA0N       20190101001895100000005000 0000036900001945   
0601LUA0N       20190101001900100000005000 0000037040001947   
0601LUA0N       20190101001905100000005000 0000037180001949   
0601LUA0N       20190101001910100000005000 0000037350001953   
0601LUA0N       20190101001915100000005000 0000037490001955   
0601LUA0N       20190101001920100000005000 0000037630001957   
0601LUA0N       20190101001925100000005000 0000037800001961   
0601LUA0N       20190101001930100000005000 0000037940001963   
0601LUA0N       20190101001935100000005000 0000038080001965   
